h,irf,lower,upper,impulse,response,model,model_label,dummy,p_used,wage_col,ci
0,0,0,0,ga,gw,p4_no_dummy,p=4 | sin dummy,FALSE,4,w_real_mean_winsor,0.95
1,-6.462121820745941e-4,-0.014748045176616676,0.012256669294481545,v,ga,p6_no_dummy,p=6 | sin dummy,FALSE,6,w_real_mean_winsor,0.95
2,0.010362206510108869,-0.00500419736202292,0.019582556423470652,v,ga,p6_no_dummy,p=6 | sin dummy,FALSE,6,w_real_mean_winsor,0.95
3,-0.016012275503775392,-0.027032487797979052,-0.0012522199393185476,v,ga,p6_no_dummy,p=6 | sin dummy,FALSE,6,w_real_mean_winsor,0.95
4,0.010955339180245379,-0.003591480675144439,0.024373809149324552,v,ga,p6_no_dummy,p=6 | sin dummy,FALSE,6,w_real_mean_winsor,0.95
5,0.0028376508866370482,-0.012107555394049514,0.015151606208911827,v,ga,p6_no_dummy,p=6 | sin dummy,FALSE,6,w_real_mean_winsor,0.95
6,0.009729929184987532,-0.005230246413974227,0.019258024813450465,v,ga,p6_no_dummy,p=6 | sin dummy,FALSE,6,w_real_mean_winsor,0.95
7,-0.01427353775944564,-0.023820283165253968,0.0017746601317845515,v,ga,p6_no_dummy,p=6 | sin dummy,FALSE,6,w_real_mean_winsor,0.95
8,0.009290279454554438,-0.006357476899192271,0.01961183653416875,v,ga,p6_no_dummy,p=6 | sin dummy,FALSE,6,w_real_mean_winsor,0.95
9,0.0017452164143276344,-0.009839386668285422,0.013214590481833216,v,ga,p6_no_dummy,p=6 | sin dummy,FALSE,6,w_real_mean_winsor,0.95
10,0.009946759390748528,-0.003483473060539817,0.018309873061787357,v,ga,p6_no_dummy,p=6 | sin dummy,FALSE,6,w_real_mean_winsor,0.95
11,-0.008711911464922034,-0.017609372351148025,0.003235645687680221,v,ga,p6_no_dummy,p=6 | sin dummy,FALSE,6,w_real_mean_winsor,0.95
12,0.006694452837403051,-0.005291850880344438,0.014765733837760196,v,ga,p6_no_dummy,p=6 | sin dummy,FALSE,6,w_real_mean_winsor,0.95
0,0,0,0,v,gw,p6_no_dummy,p=6 | sin dummy,FALSE,6,w_real_mean_winsor,0.95
1,0.013380623805381468,0.002556121049331807,0.017837926720680797,v,gw,p6_no_dummy,p=6 | sin dummy,FALSE,6,w_real_mean_winsor,0.95
2,0.009907333249938624,-0.0012305338147495799,0.01419689768832111,v,gw,p6_no_dummy,p=6 | sin dummy,FALSE,6,w_real_mean_winsor,0.95
3,0.001063445865598893,-0.00704094390770096,0.007694900427439222,v,gw,p6_no_dummy,p=6 | sin dummy,FALSE,6,w_real_mean_winsor,0.95
4,0.001733257411145006,-0.006300281652321329,0.008762377583132018,v,gw,p6_no_dummy,p=6 | sin dummy,FALSE,6,w_real_mean_winsor,0.95
5,0.010654958980388436,-8.608075839287177e-4,0.014568431134079879,v,gw,p6_no_dummy,p=6 | sin dummy,FALSE,6,w_real_mean_winsor,0.95
6,0.008246991737841535,-0.001953239046383489,0.012297214016571521,v,gw,p6_no_dummy,p=6 | sin dummy,FALSE,6,w_real_mean_winsor,0.95
7,0.007597383030938308,-0.003086392100432915,0.012700719278143853,v,gw,p6_no_dummy,p=6 | sin dummy,FALSE,6,w_real_mean_winsor,0.95
8,0.013125643447616974,0.001940483677229249,0.017081199410193433,v,gw,p6_no_dummy,p=6 | sin dummy,FALSE,6,w_real_mean_winsor,0.95
9,0.0049807897843460085,-0.004984113067167083,0.009828875015112643,v,gw,p6_no_dummy,p=6 | sin dummy,FALSE,6,w_real_mean_winsor,0.95
10,0.009505986535361263,-3.707988403962482e-4,0.014145906130220027,v,gw,p6_no_dummy,p=6 | sin dummy,FALSE,6,w_real_mean_winsor,0.95
