periodo,var_mensual,year,month,factor,indice_bruto,IPC
2009-02-01,-0.364346011591,2009,2,0.99635653988409,157.33718056671188,75.7800075820009
2009-03-01,0.3921402016942,2009,3,1.003921402016942,157.95416290392615,76.07717145657685
2009-04-01,-0.155898787988,2009,4,0.99844101212012,157.70791427838236,75.9585680683405
2009-05-01,-0.250080676611,2009,5,0.99749919323389,157.31351725928587,75.76861036737115
2009-06-01,0.3465596384,2009,6,1.003465596384,157.85870241585397,76.03119378948102
2009-07-01,-0.440372754792,2009,7,0.99559627245208,157.16353569934637,75.69637312688904
2009-08-01,-0.360097011393,2009,8,0.99639902988607,156.59759450429348,75.42379274952623
2009-09-01,0.9822140569527,2009,9,1.009822140569527,158.1357180903644,76.16461584419893
2009-10-01,-0.002407358261,2009,10,0.99997592641739,158.13191119709137,76.16278228902745
2009-11-01,-0.455743443036,2009,11,0.99544256556964,157.4112353804631,75.8156754027114
2009-12-01,-0.30540474108,2009,12,0.9969459525892,156.9304940046186,75.58413073554972
2010-01-01,0.5182506085106,2010,1,1.005182506085106,157.7437872447362,75.97584595302416
2010-02-01,0.2809974226376,2010,2,1.002809974226376,158.18704322126487,76.18933612197928
2010-03-01,0.0840834230849,2010,3,1.000840834230849,158.3200523020821,76.2533987238163
2010-04-01,0.4621996710382,2010,4,1.004621996710382,159.05180706300982,76.60584168187322
2010-05-01,0.3598297929426,2010,5,1.003598297929426,159.62412285103613,76.88149232337904
2010-06-01,3.648046191e-4,2010,6,1.000003648046191,159.62470516720947,76.88177279061426
2010-07-01,0.6423897037446,2010,7,1.006423897037446,160.6501178378363,77.37565338307748
2010-08-01,-0.098307670057,2010,8,0.99901692329943,160.4921864500461,77.2995871810452
2010-09-01,0.3999324854496,2010,9,1.003999324854496,161.13404684026818,77.60873334130063
2010-10-01,0.098048314554,2010,10,1.00098048314554,161.29203605736774,77.6848273962885
2010-11-01,0.0703846616601,2010,11,1.000703846616601,161.40556091123136,77.7395055992126
2010-12-01,0.1178829957072,2010,12,1.001178829957072,161.59583062167155,77.83114725726092
2011-01-01,0.2706953134827,2011,1,1.002706953134827,162.03326296194786,78.04183252531615
2011-02-01,0.2300877075378,2011,2,1.002300877075378,162.4060815821457,78.22139718869414
2011-03-01,0.7646903348062,2011,3,1.007646903348062,163.64798519114183,78.81954865274645
2011-04-01,0.3189570602065,2011,4,1.003189570602065,164.16995199379468,79.07094916799728
2011-05-01,0.3998419372396,2011,5,1.003998419372396,164.826372310212,79.38710798294436
2011-06-01,0.1697059489164,2011,6,1.001697059489164,165.10609246940555,79.52183262786411
2011-07-01,0.1269637391017,2011,7,1.001269637391017,165.31571733788942,79.62279651997063
2011-08-01,0.1621494630443,2011,8,1.001621494630443,165.5837758858806,79.75190445698861
2011-09-01,0.4970189062136,2011,9,1.004970189062136,166.40675855765582,80.14828650020527
2011-10-01,0.4854128827844,2011,10,1.004854128827844,167.21451840151863,80.53733660820822
2011-11-01,0.3173095403029,2011,11,1.003173095403029,167.74510602117817,80.79288926077191
2011-12-01,0.6092074968191,2011,12,1.006092074968191,168.76702178260635,81.28508559904529
2012-01-01,0.0880160083358,2012,1,1.000880160083358,168.9155637785666,81.35662948676192
2012-02-01,0.3883956451096,2012,2,1.003883956451096,169.57162447219488,81.67261509269645
2012-03-01,0.1631973818993,2012,3,1.001631973818993,169.84836092377756,81.80590266225639
2012-04-01,0.0507040588424,2012,4,1.000507040588424,169.93448093664324,81.84738157527883
2012-05-01,0.0306762958034,2012,5,1.000306762958034,169.98661054068734,81.87248932015821
2012-06-01,-0.296146630208,2012,6,0.99703853369792,169.48320092176627,81.63002670196914
2012-07-01,-0.013147443141,2012,7,0.99986852556859,169.46091821429152,81.61929444062251
2012-08-01,0.2211526681167,2012,8,1.002211526681167,169.8356855563375,81.79979768797597
2012-09-01,0.7685617659342,2012,9,1.007685617659342,171.14097770043577,82.4284796576173
2012-10-01,0.5586727191873,2012,10,1.005586727191873,172.09709565419854,82.88898508630527
2012-11-01,-0.450377917849,2012,11,0.99549622082151,171.32200833811254,82.5156714011474
