year,trimestre,n_obs,masa_salarial,suma_pesos,media_pond,media_simple,mediana_pond,mediana_simple,p99_5,t_index,version,trimestre_raw,ipc_q_avg,deflator_q,sd_nominal,var_nominal,cv_nominal,media_pond_real,media_simple_real,mediana_pond_real,mediana_simple_real,mean_nominal,mean_real,median_nominal,median_real,masa_salarial_real,p99_5_real,sd_real,var_real,cv_real,media_ajustada_cv,flag_cv_neg,flag_cv_hi,flag_adj_neg
2013,2,3566,1057331451.7364502,2170.5282592773438,487130.931015143,487130.931015143,300000,300000,NA,2013.2,sin_winsor,T2,82.82479575667003,0.8282479575667003,NA,NA,NA,588146.2508477281,588146.2508477281,362210.37101179984,362210.37101179984,487130.931015143,588146.2508477281,300000,362210.37101179984,1276588058.0530152,NA,730461.8150697828,533574463275.0415,1.2419730875048975,-142315.56422205473,FALSE,FALSE,TRUE
2013,3,3775,1102517864.060825,2254.2283043265343,489088.821192053,489088.821192053,300000,300000,NA,2013.3,sin_winsor,T3,83.675409188943,0.83675409188943,NA,NA,NA,584507.2356774108,584507.2356774108,358528.27360854123,358528.27360854123,489088.821192053,584507.2356774108,300000,358528.27360854123,1317612754.74768,NA,741886.7337532021,550395925718.9946,1.2692515823065857,-157379.49807579129,FALSE,FALSE,TRUE
2013,4,3882,1141596539.0504897,2342.207413315773,487401.98351365275,487401.98351365275,320000,320000,NA,2013.4,sin_winsor,T4,84.53880393130191,0.8453880393130191,NA,NA,NA,576542.3223987487,576542.3223987487,378524.3995881927,378524.3995881927,487401.98351365275,576542.3223987487,320000,378524.3995881927,1350381701.6126418,NA,660326.363607571,436030906475.19806,1.1453215799669871,-83784.04120882224,FALSE,FALSE,TRUE
2014,1,3617,1102085195.7641358,2213.3685343265533,497922.1393419961,497922.1393419961,320000,320000,NA,2014.1,sin_winsor,T1,85.64756928743772,0.8564756928743772,NA,NA,NA,581361.6702546962,581361.6702546962,373624.14679401263,373624.14679401263,497922.1393419961,581361.6702546962,320000,373624.14679401263,1286767628.0052738,NA,676873.9675930383,458158368005.14154,1.1642906683140943,-95512.29733834216,FALSE,FALSE,TRUE
2014,2,3540,1087184845.966339,2166.652979850769,501780.790960452,501780.790960452,330000,330000,NA,2014.2,sin_winsor,T2,87.00927324213623,0.8700927324213623,NA,NA,NA,576698.0601757896,576698.0601757896,379269.91882997355,379269.91882997355,501780.790960452,576698.0601757896,330000,379269.91882997355,1249504570.5540326,NA,740241.8591570248,547958010048.24854,1.2835865252111018,-163543.7989812351,FALSE,FALSE,TRUE
2014,3,3565,1091982100.5221307,2218.510864675045,492213.99719495093,492213.99719495093,350000,350000,NA,2014.3,sin_winsor,T3,87.77286920975826,0.8777286920975825,NA,NA,NA,560781.4825087527,560781.4825087527,398756.47583489085,398756.47583489085,492213.99719495093,560781.4825087527,350000,398756.47583489085,1244099811.6542468,NA,624007.1127869677,389384876808.72736,1.1127455742571315,-63225.63027821487,FALSE,FALSE,TRUE
2014,4,3528,1174855016.4390883,2204.5392651557922,532925.4212018141,532925.4212018141,350000,350000,NA,2014.4,sin_winsor,T4,89.1676892351341,0.8916768923513411,NA,NA,NA,597666.5154981153,597666.5154981153,392518.863057059,392518.863057059,532925.4212018141,597666.5154981153,350000,392518.863057059,1317579300.884438,NA,717642.3706389472,515010572136.28815,1.2007404665139054,-119975.85514083196,FALSE,FALSE,TRUE
2015,1,3454,1201166463.7992382,2195.90745472908,547002.3161551824,547002.3161551824,350000,350000,NA,2015.1,sin_winsor,T1,89.39375082498395,0.8939375082498395,NA,NA,NA,611902.1867939174,611902.1867939174,391526.2496203272,391526.2496203272,547002.3161551824,611902.1867939174,350000,391526.2496203272,1343680573.5457895,NA,819023.5955466868,670799650062.2228,1.3384877734103044,-207121.40875276932,FALSE,FALSE,TRUE
2015,2,3084,1062613872.1484542,1978.2652180194855,537144.2931258107,537144.2931258107,350000,350000,NA,2015.2,sin_winsor,T2,90.64181559029558,0.9064181559029558,NA,NA,NA,592600.9862310383,592600.9862310383,386135.2486384575,386135.2486384575,537144.2931258107,592600.9862310383,350000,386135.2486384575,1172321919.2249072,NA,720065.8307407476,518494800600.363,1.2150938784634664,-127464.84450970928,FALSE,FALSE,TRUE
2015,3,3593,1166426451.2718916,2229.6403499245644,523145.56081269134,523145.56081269134,350000,350000,NA,2015.3,sin_winsor,T3,91.9406447165159,0.9194064471651591,NA,NA,NA,569003.5809795831,569003.5809795831,380680.3846972885,380680.3846972885,523145.56081269134,569003.5809795831,350000,380680.3846972885,1268673343.4036477,NA,647713.9881073277,419533410389.8994,1.138330249156321,-78710.40712774459,FALSE,FALSE,TRUE
