year,trimestre,n_obs,masa_salarial,suma_pesos,media_pond,media_simple,p99_5,t_index,version,trimestre_raw,ipc_q_avg,deflator_q,sd_nominal,var_nominal,cv_nominal,media_pond_real,media_simple_real,mean_nominal,mean_real,masa_salarial_real,p99_5_real,sd_real,var_real,cv_real,media_ajustada_cv,flag_cv_neg,flag_cv_hi,flag_adj_neg
2010,2,3616,654568901.4256954,2001.3917598724365,327056.85840707965,327056.85840707965,2500000,2010.2,winsor_p99_5,T2,76.78970226528884,0.7678970226528884,NA,NA,NA,425912.39288463653,425912.39288463653,327056.85840707965,425912.39288463653,852417553.5468633,3255644.866759787,409329.9744420189,167551027976.70386,0.9610661283408366,16582.418442617618,FALSE,FALSE,FALSE
2010,3,3531,631120971.5842366,1942.2579805254936,324941.88615123194,324941.88615123194,2500000,2010.3,winsor_p99_5,T3,77.42799130180777,0.7742799130180776,NA,NA,NA,419669.78696972254,419669.78696972254,324941.88615123194,419669.78696972254,815106992.9273775,3228806.479371538,400403.3644779474,160322854285.25998,0.9540914712233857,19266.422491775113,FALSE,FALSE,FALSE
2010,4,3719,718729504.4733405,2090.8464418649673,343750.4974455499,343750.4974455499,2500000,2010.4,winsor_p99_5,T4,77.75182675092067,0.7775182675092067,NA,NA,NA,442112.4387813557,442112.4387813557,343750.4974455499,442112.4387813557,924389219.5302407,3215358.5381457256,468583.65104510623,219570638026.76187,1.0598743892768911,-26471.212263750596,FALSE,FALSE,TRUE
2011,1,3543,757093989.3066287,2043.0837038755417,370564.3522438611,370564.3522438611,3100000,2011.1,winsor_p99_5,T1,78.36092612225225,0.7836092612225225,NA,NA,NA,472894.2989593273,472894.2989593273,370564.3522438611,472894.2989593273,966162635.8594501,3956053.295189028,526112.9078243733,276794791779.41754,1.1125380639651639,-53218.608865046095,FALSE,FALSE,TRUE
2011,2,3668,777233677.6252866,2066.4177277088165,376126.1177753544,376126.1177753544,3100000,2011.2,winsor_p99_5,T2,79.32662992626858,0.7932662992626858,NA,NA,NA,474148.6158241576,474148.6158241576,376126.1177753544,474148.6158241576,979789105.3076364,3907893.2294001966,522707.4777334502,273223107278.4653,1.1024127463177096,-48558.86190929259,FALSE,FALSE,TRUE
2011,3,3785,792064223.3203232,2153.6192241311073,367782.8533685601,367782.8533685601,3100000,2011.3,winsor_p99_5,T3,79.8409958257215,0.7984099582572151,NA,NA,NA,460644.12093677255,460644.12093677255,367782.8533685601,460644.12093677255,992052034.3324081,3882717.1028361684,474565.3461156993,225212267733.91348,1.030221215350836,-13921.225178926794,FALSE,FALSE,TRUE
2011,4,3761,822070525.2349377,2180.0617995858192,377085.8814145174,377085.8814145174,3100000,2011.4,winsor_p99_5,T4,80.87177048934181,0.8087177048934181,NA,NA,NA,466276.2780298151,466276.2780298151,377085.8814145174,466276.2780298151,1016511101.7858566,3833228.8031316847,521840.0701559208,272317058820.33633,1.11916495593746,-55563.79212610572,FALSE,FALSE,TRUE
2012,1,3826,865280556.8206289,2222.964267015457,389246.2733925773,389246.2733925773,3748500.000000058,2012.1,winsor_p99_5,T1,81.61171574723825,0.8161171574723824,NA,NA,NA,476949.013788807,476949.013788807,389246.2733925773,476949.013788807,1060240614.8407805,4593090.545491819,536089.5704615199,287392027557.6169,1.1239976495661659,-59140.556672712904,FALSE,FALSE,TRUE
2012,2,3694,877068568.3190275,2169.5969598293304,404254.1469951273,404254.1469951274,3748500.000000058,2012.2,winsor_p99_5,T2,81.7832991991354,0.817832991991354,NA,NA,NA,494299.14292257,494299.14292257006,404254.1469951273,494299.14292257,1072429917.7310517,4583454.124139427,533238.6735007989,284343482916.89154,1.078777256921784,-38939.5305782289,FALSE,FALSE,TRUE
2012,3,3751,941382498.2817477,2234.6740273833275,421261.6635563852,421261.6635563852,3748500.000000058,2012.3,winsor_p99_5,T3,81.94919059540526,0.8194919059540525,NA,NA,NA,514052.2566430383,514052.2566430383,421261.6635563852,514052.2566430383,1148739226.6379862,4574175.745684827,587340.5903644908,344968969089.70856,1.142569812260049,-73288.33372145247,FALSE,FALSE,TRUE
