year,trimestre,n_obs,masa_salarial,suma_pesos,media_pond,media_simple,mediana_pond,mediana_simple,p99_5,t_index,version,trimestre_raw,ipc_q_avg,deflator_q,sd_nominal,var_nominal,cv_nominal,media_pond_real,media_simple_real,mediana_pond_real,mediana_simple_real,mean_nominal,mean_real,median_nominal,median_real,masa_salarial_real,p99_5_real,sd_real,var_real,cv_real,media_ajustada_cv,flag_cv_neg,flag_cv_hi,flag_adj_neg
2015,1,3454,1180186456.2699795,2195.90745472908,537448.1760277939,537448.1760277939,350000,350000,5000000,2015.1,winsor_p99_5,T1,89.39375082498395,0.8939375082498395,NA,NA,NA,601214.4820727074,601214.4820727074,391526.2496203272,391526.2496203272,537448.1760277939,601214.4820727074,350000,391526.2496203272,1320211363.074541,5593232.137433246,723559.5485459026,523538420291.9503,1.2034965392906145,-122345.06647319515,FALSE,FALSE,TRUE
2015,2,3084,1051965622.271955,1978.2652180194855,531761.6731517509,531761.6731517509,350000,350000,5000000,2015.2,winsor_p99_5,T2,90.64181559029558,0.9064181559029558,NA,NA,NA,586662.6453681529,586662.6453681529,386135.2486384575,386135.2486384575,531761.6731517509,586662.6453681529,350000,386135.2486384575,1160574306.0431173,5516217.8376922505,661168.0858436034,437143237738.0944,1.1269987804127115,-74505.4404754505,FALSE,FALSE,TRUE
2015,3,3593,1158359286.0759497,2229.6403499245644,519527.4144169218,519527.4144169218,350000,350000,5000000,2015.3,winsor_p99_5,T3,91.9406447165159,0.9194064471651591,NA,NA,NA,565068.2742314897,565068.2742314897,380680.3846972885,380680.3846972885,519527.4144169218,565068.2742314897,350000,380680.3846972885,1259899024.6887684,5438291.209961264,608987.9045557943,370866267895.25726,1.0777244668071952,-43919.630324304526,FALSE,FALSE,TRUE
2015,4,3632,1255164142.0218782,2262.051354408264,554878.7120044053,554878.7120044053,365000,365000,5000000,2015.4,winsor_p99_5,T4,92.82453483188124,0.9282453483188123,NA,NA,NA,597771.6053297456,597771.6053297456,393215.0057752169,393215.0057752169,554878.7120044053,597771.6053297456,365000,393215.0057752169,1352190069.4629533,5386506.928427628,692803.4905627486,479976676535.9285,1.158976914235632,-95031.88523300308,FALSE,FALSE,TRUE
2016,1,3489,1160806883.7816715,2195.649321913719,528685.0100315276,528685.0100315276,360000,360000,5000000,2016.1,winsor_p99_5,T1,93.55073147163169,0.9355073147163169,NA,NA,NA,565131.8826853278,565131.8826853278,384817.9424542141,384817.9424542141,528685.0100315276,565131.8826853278,360000,384817.9424542141,1240831435.0098636,5344693.6451974185,619105.4215605885,383291523005.714,1.0955060942921775,-53973.5388752607,FALSE,FALSE,TRUE
2016,2,3533,1245165444.7479844,2249.8543794751167,553442.6832720068,553442.6832720068,400000,400000,5000000,2016.2,winsor_p99_5,T2,94.46207766159615,0.9446207766159616,NA,NA,NA,585888.7470744364,585888.7470744364,423450.3516140861,423450.3516140861,553442.6832720068,585888.7470744364,400000,423450.3516140861,1318164363.4906096,5293129.395176076,613702.4685461335,376630719899.618,1.047472701277472,-27813.721471697096,FALSE,FALSE,TRUE
2016,3,3513,1289578502.4475932,2243.5420632362366,574795.7765442642,574795.7765442642,400000,400000,5000000,2016.3,winsor_p99_5,T3,95.15304313508406,0.9515304313508406,NA,NA,NA,604075.0328166122,604075.0328166122,420375.41503758304,420375.41503758304,574795.7765442642,604075.0328166122,400000,420375.41503758304,1355267745.4748793,5254692.687969788,708626.9594412814,502152167646.9955,1.1730777154241525,-104551.92662466918,FALSE,FALSE,TRUE
2016,4,3597,1321403083.1484318,2256.3415853977203,585639.644147901,585639.644147901,400000,400000,5000000,2016.4,winsor_p99_5,T4,95.45003076659991,0.9545003076659991,NA,NA,NA,613556.2654557355,613556.2654557355,419067.43956751964,419067.43956751964,585639.644147901,613556.2654557355,400000,419067.43956751964,1384392516.729099,5238342.994593996,679723.7817690193,462024419502.37744,1.1078426218402906,-66167.51631328384,FALSE,FALSE,TRUE
2017,1,3492,1348216318.5147839,2208.926005125046,610349.244558992,610349.244558992,400000,400000,5000000,2017.1,winsor_p99_5,T1,96.12738469730132,0.9612738469730132,NA,NA,NA,634937.9487239154,634937.9487239154,416114.51435984985,416114.51435984985,610349.244558992,634937.9487239154,400000,416114.51435984985,1402530946.5770097,5201431.429498123,717309.6106466628,514533077526.0669,1.129731829839902,-82371.66192274737,FALSE,FALSE,TRUE
2017,2,3406,1435506534.4245632,2252.645842075348,637253.5387551379,637253.5387551379,400000,400000,5000000,2017.2,winsor_p99_5,T2,96.63562080025419,0.96635620800254185,NA,NA,NA,659439.5870569724,659439.5870569724,413926.0416475204,413926.0416475204,637253.5387551379,659439.5870569724,400000,413926.0416475204,1485483843.8837733,5174075.520594005,749445.5734259902,561668667527.8112,1.1364886005262551,-90005.98636901774,FALSE,FALSE,TRUE
